Priority,Description
1,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
4,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
5,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
6,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
9,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
10,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
11,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
12,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
13,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
14,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
15,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
16,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
#1,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
#2,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
#3,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
#4,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
#5,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
01Σ,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
02Σ,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
03Σ,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
04Σ,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
05Σ,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
10(1),"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
10(2),"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1a,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1b,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
1E,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2.α,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2.β,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2a,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2b,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2E,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2Α,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2α,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2β,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
2Β,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
3E,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
4Α,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
4Β,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
6A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
6B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
6C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
6D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7Α,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
7Β,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8 (1),"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8 (2),"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8 B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8 C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8 D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8:00 AM,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8B,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8C,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8D,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
8E,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
9A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A.1,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A.2,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A.3,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A.4,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
A.5,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 1,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 2,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 3,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 4,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 5,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 6,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP 7,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
AP1,"Priority axis is defined by project officers, and hence there is no harmonized typology for priority axis. Please contact EU publication office for details on priority axis."
